Sr.,Questions:,O1,O2,O3,O4,Correct,Domain
1,"Cloud ________ consists of hardware and software components such as data storage, server, virtualization software, etc.",infrastructure,ecosystem,atmosphere,model,infrastructure,Cloud
2,____ is a form of cloud computing that provides virtualized computing resources over the internet.,IaaS,SaaS,PaaS,TaaS,IaaS,Cloud
3,____ is a software licensing and delivery model in which software is licensed on a subscription basis and is centrally hosted.,SaaS,IaaS,PaaS,TaaS,SaaS,Cloud
4,"____ permits developers to build, test, debug, deploy, host, and update their applications all in the same environment.",PaaS,SaaS,IaaS,TaaS,PaaS,Cloud
5,______ in cloud computing is the ability to quickly and easily increase or decrease the size or power of an IT solution.,Scalability,Expanding,Promotion,Marketing,Scalability,Cloud
6,_______ is open source software for building AWS-compatible private and hybrid clouds.,Eucalyptus,OpenStack,NextCloud,Apache CloudStack,Eucalyptus,Cloud
7,"A systems _______ is an individual or business that builds computing systems for clients by combining hardware, software, networking and storage products from multiple vendors.",integrator,merger,inserter,builder,integrator,Cloud
8,_______ is an open source cloud computing infrastructure software project and is one of the three most active open source projects in the world.,OpenStack,Eucalyptus,NextCloud,Apache CloudStack,OpenStack,Cloud
9,_____ make the platform extensible which can lead to a rich feature set.,APIs,Sets,Scalability,Expansion,APIs,Cloud
10,"_____ is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through Microsoft-managed data centers.",Azure,OpenStack,NextCloud,Apache CloudStack,Azure,Cloud
11,_________ separates the back-end level and user level for creation of a seamless environment between the two.,Virtualization,Mirroring,VM,Separator,Virtualization,Cloud
12,________ is a programming language that compiles to JavaScript.,CoffeeScript,Python,Ruby,Swift,CoffeeScript,CoffeeScript
13,CoffeeScript was released in the year ____.,2009,2010,2011,2008,2009,CoffeeScript
14,"Unlike JavaScript, while creating a variable in CoffeeScript, there is no need to declare it using the ___ keyword.",var,int,char,varchar,var,CoffeeScript
15,"In CoffeeScript, we define only ______ expressions.",function,arithematic,single,double,function,CoffeeScript
16,"_____ are tools that read source code written in one programming language, and produce the equivalent code in another language.",Transpilers,Splats,Transporters,Transversers,Transpilers,CoffeeScript
17,How man logical operators does CoffeScript support?,3,2,4,5,3,CoffeeScript
18,How many languages have inspired CoffeeScript?,3,4,5,6,3,CoffeeScript
